# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
HD 51608 b,0.0413,,14.07,0.1059,0.15,,2011,Radial Velocity,HD 51608,,,,K0IV,,,,
HD 51608 c,0.0565,,95.415,0.3791,0.41,,2011,Radial Velocity,HD 51608,,,,K0IV,,,,
HD 52265 b,1.05,,119.6,0.5,0.35,,2000,Radial Velocity,HD 52265,0.21,1.2,1.25,G0 V,4.88,6159,IR Excess,
HD 52265 c,0.35,,59.9,0.316,0.05,,2013,Radial Velocity,HD 52265,0.21,1.2,1.25,G0 V,4.88,6159,IR Excess,
HD 5319 b,1.94,,675,1.75,0.12,,2007,Radial Velocity,HD 5319,0.15,1.56,3.26,G5IV,2.4,5052,,
HD 5319 c,1.15,,886,2.071,0.15,,2016,Radial Velocity,HD 5319,0.15,1.56,3.26,G5IV,2.4,5052,,
HD 5583 b,5.78,,139.35,0.53,0.076,,2016,Radial Velocity,HD 5583,-0.5,1.01,9.09,K0,7.4,4830,,
HD 5608 b,1.4,,792.6,1.9,,,2012,Radial Velocity,HD 5608,0.06,1.55,5.5,K0IV,,4854,,
HD 564 b,0.33,,492.3,1.2,0.096,,2014,Radial Velocity,HD 564,0.13,0.92,1.01,G3V,5.5,5902,,
HD 5891 b,7.6,,177.11,0.76,0.066,,2011,Radial Velocity,HD 5891,-0.02,1.91,8.7,G5D,1.5,4907,,
HD 59686 A b,6.92,,299.36,1.086,0.05,,2003,Radial Velocity,HD 59686 A,0.15,1.9,13.2,K2 III,1.73,4658,,
HD 60532 b,9.21,,201.83,0.77,0.278,20,2008,Radial Velocity,HD 60532,-0.26,1.44,,F6IV-V,2.7,6095,,
HD 60532 c,21.8,,607.06,1.58,0.038,20,2008,Radial Velocity,HD 60532,-0.26,1.44,,F6IV-V,2.7,6095,,
HD 62509 b,2.9,,589.64,1.69,0.02,,2006,Radial Velocity,HD 62509,0.19,1.47,9.3, K0IIIb,,4666,,
HD 63454 b,0.39,1.06,2.81747,0.036,0.0177,,2005,Radial Velocity,HD 63454,0.11,0.8,,K4 V,1,4841,,
HD 63765 b,0.64,,358,0.949,0.24,,2009,Radial Velocity,HD 63765,-0.16,0.865,,G9V,4.77,5432,,
HD 6434 b,0.39,,21.998,0.14,0.17,,2000,Radial Velocity,HD 6434,-0.52,0.79,0.57,G3 IV,3.8,5835,,
HD 65216 b,1.26,,572.4,1.3,0.41,,2003,Radial Velocity,HD 65216,-0.12,0.92,,G5 V,,5666,,
HD 65216 c,0.17,,152.6,0.54,0.02,,2011,Radial Velocity,HD 65216,-0.12,0.92,,G5 V,,5666,,
HD 66141 b,6,,480.5,1.2,0.07,,2012,Radial Velocity,HD 66141,-0.32,1.1,21.4,K2III,6.84,4305,,
HD 66428 b,2.82,,1973,3.18,0.465,,2006,Radial Velocity,HD 66428,0.31,1.14552,,G5,5.56,5752,,
HD 67087 b,3.06,,352.2,1.08,0.17,,2015,Radial Velocity,HD 67087,0.25,1.36,1.55,F8 V,1.45,6330,,
HD 67087 c,4.85,,2374,3.86,0.76,,2015,Radial Velocity,HD 67087,0.25,1.36,1.55,F8 V,1.45,6330,,
HD 6718 b,1.56,,2496,3.56,0.1,,2009,Radial Velocity,HD 6718,-0.06,0.96,1.02,G5V,,5745,,
HD 68402 b,3.07,,1103,2.18,0.03,,2016,Radial Velocity,HD 68402,0.29,1.12,1.02,G5IV/V,2,5950,,
HD 68988 b,1.86,,6.2771,0.0704,0.1249,,2001,Radial Velocity,HD 68988,0.24,1.2,1.14,G0,6.78,5767,,
HD 69830 b,0.143,,8.667,0.0785,0.1,13,2006,Radial Velocity,HD 69830,-0.05,0.86,0.895,K0V,7,5385,IR Excess,
HD 69830 c,0.165,,31.56,0.186,0.13,13,2006,Radial Velocity,HD 69830,-0.05,0.86,0.895,K0V,7,5385,IR Excess,
HD 69830 d,0.253,,197,0.63,0.07,13,2006,Radial Velocity,HD 69830,-0.05,0.86,0.895,K0V,7,5385,IR Excess,
HD 70642 b,2,,2231,3.3,0.1,,2003,Radial Velocity,HD 70642,0.16,1,0.84,G5 IV-V,3.88,5670,,
HD 7199 b,0.29,,615,1.36,0.19,,2011,Radial Velocity,HD 7199,0.28,0.89,0.96,KOIV/V,6.79,5386,,
HD 72659 b,3.15,,3658,4.74,0.22,,2002,Radial Velocity,HD 72659,-0.02,0.95,1.36,G2 V,6.5,5926,,
HD 72892 b,5.45,,39.475,0.228,0.423,,2016,Radial Velocity,HD 72892,0.25,1.02,1.22,G5V,8,5688,,
HD 73256 b,1.87,,2.54858,0.037,0.029,,2003,Radial Velocity,HD 73256,0.29,1.05,0.89,G8/K0,0.83,5570,,
HD 73267 b,3.06,,1260,2.198,0.256,,2008,Radial Velocity,HD 73267,0.03,0.89,1.04,G5V,7.4,5317,,
HD 73526 b,2.25,,188.9,0.65,0.29,,2002,Radial Velocity,HD 73526,0.25,1.08,1.49,G6 V,5.59,5590,IR Excess,
HD 73526 c,2.25,,379.1,1.03,0.28,,2006,Radial Velocity,HD 73526,0.25,1.08,1.49,G6 V,5.59,5590,IR Excess,
HD 73534 b,1.15,,1800,3.15,0.046,,2009,Radial Velocity,HD 73534,0.16,1.29,2.65,G5IV,,4952,,
HD 74156 b,1.778,,51.6385,0.2916,0.638,,2003,Radial Velocity,HD 74156,0.13,1.24,1.64,G1V,3.7,5960,,
HD 74156 c,7.997,,2448.9,3.82,0.3829,,2003,Radial Velocity,HD 74156,0.13,1.24,1.64,G1V,3.7,5960,,
HD 7449 b,1.11,,1275,2.3,0.82,,2011,Radial Velocity,HD 7449,-0.11,1.05,1.01,F8V,2.1,6024,,
HD 7449 c,2,,4046,4.96,0.53,,2011,Radial Velocity,HD 7449,-0.11,1.05,1.01,F8V,2.1,6024,,
HD 75289 b,0.47,1.03,3.50928,0.046,0.0211,,1999,Radial Velocity,HD 75289,0.29,1.05,1.25,G0 V,4.96,6120,,
HD 75784 b,1.15,,341.7,1.073,0.13,,2014,Primary Transit,HD 75784,0.25,1.41,3.3,K3 IV,4,4917,,
HD 75784 c,5.6,,5040,6.5,0.36,,2015,Primary Transit,HD 75784,0.25,1.41,3.3,K3 IV,4,4917,,
HD 75898 b,2.51,,418.2,1.19,0.1,,2007,Radial Velocity,HD 75898,0.27,1.28,1.6,G0,3.8,6021,,
HD 76700 b,0.23,0.99,3.97101,0.049,0.0616,,2002,Radial Velocity,HD 76700,0.14,1,1.33,G6 V,4.51,5726,,
HD 77065 b,41,,119.1135,0.438,0.69397,,2016,Radial Velocity,HD 77065,-0.51,0.75,,G5,,4990,,
HD 77338 b,0.5,,5.7561,0.0614,,,2012,Radial Velocity,HD 77338,0.35,0.93,0.88,K0IV,3.97,5370,,
HD 7924 b,0.0273,1.05,5.39792,0.05664,0.058,,2009,Radial Velocity,HD 7924,-0.15,0.832,0.78,K0V,,5177,,
HD 7924 c,0.0247,,15.299,0.1134,0.098,,2015,Radial Velocity,HD 7924,-0.15,0.832,0.78,K0V,,5177,,
HD 7924 d,0.0203,,24.451,0.1551,0.21,,2015,Radial Velocity,HD 7924,-0.15,0.832,0.78,K0V,,5177,,
HD 79498 b,1.34,,1966,3.13,0.59,,2012,Radial Velocity,HD 79498,0.24,1.06,,G5,2.7,5740,,
HD 80606 b,3.94,0.921,111.43637,0.449,0.93366,89.285,2001,Primary Transit,HD 80606,0.43,0.98,0.98,G5,7.63,5645,,
HD 81040 b,6.86,,1001.7,1.94,0.526,,2005,Radial Velocity,HD 81040,-0.16,0.96,0.86,G2/G3,4.18,5700,,
HD 81688 b,1.77,,184.02,0.66,0,,2008,Radial Velocity,HD 81688,-0.359,2.1,13,K0III-IV,,4753,,
HD 82886 b,1.3,,705,1.65,0.27,,2011,Radial Velocity,HD 82886,-0.31,1.06,4.8,G0,7,5112,,
HD 82943 b,14,,442.4,1.19,0.203,19.4,2003,Radial Velocity,HD 82943,0.32,1.18,1.12,G0,3.08,5874,IR Excess,
HD 82943 c,14.4,,219.3,0.746,0.425,19.4,2003,Radial Velocity,HD 82943,0.32,1.18,1.12,G0,3.08,5874,IR Excess,
HD 82943 d,0.29,,1078,2.145,0,,2013,Radial Velocity,HD 82943,0.32,1.18,1.12,G0,3.08,5874,IR Excess,
HD 83443 b,0.4,1.04,2.98572,0.0406,0.007,,2002,Radial Velocity,HD 83443,0.35,0.9,1.04,K0 V,2.94,5460,,
HD 8535 b,0.68,,1313,2.45,0.15,,2009,Radial Velocity,HD 8535,0.02,1.13,1.19,G0V,,6136,,
HD 85390 b,0.132,,788,1.52,0.41,,2009,Radial Velocity,HD 85390,-0.07,0.76,,K1V,7.2,5186,,
HD 85390 c,0.2,,3700,4.23,0,,2013,Radial Velocity,HD 85390,-0.07,0.76,,K1V,7.2,5186,,
HD 85512 b,0.011,,58.43,0.26,0.11,,2011,Radial Velocity,HD 85512,-0.33,0.69,,K5V,5.61,4715,,
HD 8574 b,2.11,,227.55,0.77,0.288,,2003,Radial Velocity,HD 8574,0.05,1.17,1.37,F8,7.13,6080,,
HD 86081 b,1.5,1.08,1.99809,0.039,0.0575,,2006,Radial Velocity,HD 86081,0.257,1.21,1.22,F8V,6.21,6028,,
HD 86226 b,1.5,,1534,2.6,0.73,,2010,Radial Velocity,HD 86226,-0.04,1.02,,G2V,,,,
HD 86264 b,7,,1475,2.86,0.7,,2009,Radial Velocity,HD 86264,0.202,1.42,1.88,F7V,2.24,6210,,
HD 8673 b,14.2,,1634,3.02,0.723,,2010,Radial Velocity,HD 8673,0.14,1.35,1.39,F7 V,1.95,6472,,
HD 86950 b,3.6,,1270,2.72,0.17,,2016,Radial Velocity,HD 86950,0.04,1.66,8.8,K1 III,,4805,,
HD 87646 A b,12.4,,13.481,0.117,0.05,,2016,Radial Velocity,HD 87646 A,-0.17,1.12,1.55,G1IV,,5770,,
HD 87646 A c,57,,674,1.58,0.5,,2016,Radial Velocity,HD 87646 A,-0.17,1.12,1.55,G1IV,,5770,,
HD 87883 b,81.9,,2754,3.6,0.53,8.5,2009,Radial Velocity,HD 87883,0.093,0.82,0.76,K0V,9.8,4980,,
HD 88133 b,0.3,1,3.41566,0.047,0.0761,,2004,Radial Velocity,HD 88133,0.34,1.2,1.93,G5 IV,9.56,5494,,
HD 89307 b,2,,2199,3.34,0.25,,2004,Radial Velocity,HD 89307,-0.14,1.028,1.05,G0V,6.76,5950,,
HD 89744 b,8.9,,256,0.88,0.7,54,2000,Radial Velocity,HD 89744,0.18,1.4,2.14,F7 V,2.04,6196,,
HD 89744 c,3.2,,85.2,0.44,0,,2013,Radial Velocity,HD 89744,0.18,1.4,2.14,F7 V,2.04,6196,,
HD 90156 b,0.057,,49.77,0.25,0.31,,2009,Radial Velocity,HD 90156,-0.24,0.84,,G5V,4.4,5599,,
HD 9174 b,1.11,,1179,2.2,0.12,,2016,Radial Velocity,HD 9174,0.39,1.03,1.67,G8IV,9,5577,,
HD 92788 b,27.7,,325.81,0.97,0.334,8,2000,Radial Velocity,HD 92788,0.32,1.13,0.99,G5,3.78,5559,,
HD 92788 c,0.9,,162,0.6,0.04,,2013,Radial Velocity,HD 92788,0.32,1.13,0.99,G5,3.78,5559,,
HD 93083 b,0.37,,143.58,0.477,0.14,,2005,Radial Velocity,HD 93083,0.15,0.7,,K3 V,6,4995,,
HD 93385 b,0.0263,,13.186,0.1116,0.15,,2011,Radial Velocity,HD 93385,,,,G2V,,,,
HD 93385 c,0.0318,,46.025,0.257,0.24,,2011,Radial Velocity,HD 93385,,,,G2V,,,,
HD 9446 b,0.7,,30.052,0.189,0.2,,2010,Radial Velocity,HD 9446,0.09,1,1,G5V,,5793,,
HD 9446 c,1.82,,192.9,0.654,0.06,,2010,Radial Velocity,HD 9446,0.09,1,1,G5V,,5793,,
HD 95086 b,4.4,,,61.7,0.2,153,2013,Imaging,HD 95086,,1.6,,A8III,0.017,7550,Imaging,
HD 95089 b,1.2,,507,1.51,0.157,,2010,Radial Velocity,HD 95089,0.05,1.58,4.9,K0 IV,2.5,5002,,
HD 95127 b,5.01,,482,1.28,0.11,,2015,Radial Velocity,HD 95127,-0.18,1.2,20,K0,5.5,4218,,
HD 9578 b,0.62,,494,,,,2009,Radial Velocity,HD 9578,0.11,1.12,,G1V,,,,
HD 95872 b,4.6,,4375,5.2,0.06,,2015,Radial Velocity,HD 95872,0.41,0.95,,K0V,10,5312,,
HD 96063 b,0.9,,361.1,0.99,0.28,,2011,Radial Velocity,HD 96063,-0.3,1.02,4.5,K0,9,5148,,
HD 96127 b,4,,647.3,1.4,0.3,,2011,Radial Velocity,HD 96127,-0.24,0.91,35,K2III,,4152,,
HD 96167 b,0.68,,498.9,1.3,0.71,,2009,Radial Velocity,HD 96167,0.34,1.31,1.86,G5D,3.8,5770,,
HD 96700 b,0.0284,,8.1256,0.0774,0.1,,2011,Radial Velocity,HD 96700,,,,G0V,,,,
HD 96700 c,0.04,,103.49,0.422,0.37,,2011,Radial Velocity,HD 96700,,,,G0V,,,,
HD 97658 b,0.023754837,0.200464271,9.4903,0.08,0.078,89.14,2010,Primary Transit,HD 97658,-0.23,0.85,0.73,K1V,,5170,,
HD 98219 b,1.8,,436.9,1.23,0.21,,2011,Radial Velocity,HD 98219,-0.02,1.3,4.5,K0III/IV,4,4992,,
HD 984 b,65,,,18,,,2017,Imaging,HD 984,,1.2,,F7V,0.08,6315,,
HD 98649 b,6.8,,4951,5.6,0.85,,2011,Radial Velocity,HD 98649,,,,G4V,,,,
HD 99109 b,0.502,,439.3,1.105,0.09,,2006,Radial Velocity,HD 99109,0.315,0.93,,K0,12.2,5272,,
HD 99492 b,0.079,,17.054,0.123,0.07,,2004,Radial Velocity,HD 99492,0.36,0.83,0.96,K2V,4,4740,,
HD 99706 b,1.4,,868,2.14,0.365,,2011,Radial Velocity,HD 99706,0.14,1.72,5.4,K0,2.1,4932,,
HD169142 b,30,,,22.7,,,2014,Imaging,HD169142,,1.65,1.6,A7V,12,7650,Imaging,
HII 1348 b,59,,,138,,,2012,Imaging,HII 1348,,,,K5V,,,,
HIP 105854 b,8.2,,184.2,0.81,0.02,,2014,Radial Velocity,HIP 105854,0.31,2.1,,K2III,,4780,,
HIP 107773 b,1.98,,144.3,0.72,0.09,,2015,Radial Velocity,HIP 107773,0.03,2.42,11.6,,,4945,,
HIP 109384 b,1.56,,499.48,1.134,0.549,,2016,Radial Velocity,HIP 109384,-0.26,0.78,,G5,,5180,,
HIP 109600 b,2.68,,232.08,0.706,0.163,,2016,Radial Velocity,HIP 109600,-0.12,0.87,,G5,,5530,,
HIP 116454 b,0.0372,0.226,9.1265,0.098,0.205,88.43,2014,Primary Transit,HIP 116454,-0.16,0.775,0.716,K2,,5089,,
HIP 11915,0.99,,3830,4.8,0.1,,2015,Radial Velocity,HIP 11915,-0.059,1,,G5V,4,5760,,
HIP 12961 b,0.35,,57.435,0.13,0.16,,2009,Radial Velocity,HIP 12961,-0.07,0.67,,M0V,,,,
HIP 14810 b,3.88,,6.673855,0.0692,0.1427,,2006,Radial Velocity,HIP 14810,0.26,0.99,1,G5,,5485,,
HIP 14810 c,1.28,,147.73,0.545,0.164,,2006,Radial Velocity,HIP 14810,0.26,0.99,1,G5,,5485,,
HIP 14810 d,0.57,,962,1.89,0.173,,2009,Radial Velocity,HIP 14810,0.26,0.99,1,G5,,5485,,
HIP 41378 b,,0.26,15.5712,,,88.4,2016,Primary Transit,HIP 41378,-0.11,1.15,1.4,,,6199,,
HIP 41378 c,,0.228,31.6978,,,89.58,2016,Primary Transit,HIP 41378,-0.11,1.15,1.4,,,6199,,
HIP 41378 d,,0.353,157,,,,2016,Primary Transit,HIP 41378,-0.11,1.15,1.4,,,6199,,
HIP 41378 e,,0.492,131,,,,2016,Primary Transit,HIP 41378,-0.11,1.15,1.4,,,6199,,
HIP 41378 f,,0.91,324,,,,2016,Primary Transit,HIP 41378,-0.11,1.15,1.4,,,6199,,
HIP 5158 b,1.44,,345.63,0.89,0.54,,2009,Radial Velocity,HIP 5158,0.1,0.78,,K5V,6,4962,,
HIP 5158 c,15.04,,9018,7.7,0.14,,2010,Radial Velocity,HIP 5158,0.1,0.78,,K5V,6,4962,,
HIP 57050 b,0.298,,41.397,0.163506,0.314,,2010,Radial Velocity,HIP 57050,0.32,0.34,0.4,M4V,,3190,,
HIP 57274 b,0.036,,8.1352,0.07,0.187,,2011,Radial Velocity,HIP 57274,0.09,0.73,0.68,K5V,7.87,4640,,
HIP 57274 c,0.41,,32.03,0.178,0.05,,2011,Radial Velocity,HIP 57274,0.09,0.73,0.68,K5V,7.87,4640,,
HIP 57274 d,0.527,,431.7,1.01,0.27,,2011,Radial Velocity,HIP 57274,0.09,0.73,0.68,K5V,7.87,4640,,
HIP 63242 b,9.18,,124.6,0.565,0.23,,2013,Radial Velocity,HIP 63242,-0.31,1.54,,G8III,,,,
HIP 65407 b,0.428,,28.125,0.177,0.14,,2016,Radial Velocity,HIP 65407,0.25,0.93,,K0,,5460,,
HIP 65407 c,0.784,,67.3,0.316,0.12,,2016,Radial Velocity,HIP 65407,0.25,0.93,,K0,,5460,,
HIP 65891 b,6,,1084.5,2.81,0.13,,2015,Radial Velocity,HIP 65891,0.16,2.5,8.93,K0III,,5000,,
HIP 67537 b,11.1,,2592.5,4.96,0.59,,2016,Radial Velocity,HIP 67537,0.15,2.41,8.69,K1III,,4985,,
HIP 67851 b,1.38,,88.9,0.46,0.05,,2014,Radial Velocity,HIP 67851,0,1.63,5.52,KOIII,,4890,,
HIP 67851 c,5.98,,2131.8,3.82,0.17,,2015,Radial Velocity,HIP 67851,0,1.63,5.52,KOIII,,4890,,
HIP 68468 b,0.011,,1.8372,0.029743,0.41,,2016,Radial Velocity,HIP 68468,0.065,1.05,,G3V,5.9,5857,,
HIP 68468 c,0.094,,194,0.665,0.04,,2016,Radial Velocity,HIP 68468,0.065,1.05,,G3V,5.9,5857,,
HIP 70849 b,9,,10000,10,0.6,,2009,Radial Velocity,HIP 70849,,0.63,,K7V,3,4105,,
HIP 73990 b,21,,,20,,,2015,Imaging,HIP 73990,,1.72,,A9V,0.015,7450,,
HIP 73990 c,22,,,32,,,2015,Imaging,HIP 73990,,1.72,,A9V,0.015,7450,,
HIP 74865 b,28,,,23,,,2015,Imaging,HIP 74865,,1.42,,F3V,0.015,6640,,
HIP 74890 b,2.4,,822.3,2.1,0.07,,2016,Radial Velocity,HIP 74890,0.2,1.74,5.77,K1III,,4850,,
HIP 75458 b,9.39,,510.72,1.275,0.713,69.9,2002,Radial Velocity,HIP 75458,0.15,1.4,12.8,K2 III,,4445,,
HIP 77900 b,20,,,3200,,,2013,Imaging,HIP 77900,,,,B6,,13700,,
HIP 78530 b,23.04,,,710,,,2011,Imaging,HIP 78530,,2.5,,B9V,0.011,10500,,
HIP 79431 b,2.1,,111.7,0.36,0.29,,2010,Radial Velocity,HIP 79431,0.4,0.49,,M3V,,3191,,
HIP 8541 b,5.59,,1560,2.8,0.16,,2016,Radial Velocity,HIP 8541,-0.15,1.17,7.83,K2III,,4670,,
HIP 91258 b,1.068,,5.0505,0.057,0.024,,2013,Radial Velocity,HIP 91258,0.23,0.95,,G5V,2.4,5519,,
HIP 97233 b,20,,1058.8,2.55,0.61,,2014,Radial Velocity,HIP 97233,0.29,1.93,5.34,K0,,5020,,
HN Peg b,16,1.1,,795,,,2007,Imaging,HN Peg,,1,,G0V,0.2,,,
HR 2562 b,30,,,20.3,,,2016,Imaging,HR 2562,0.015,1.3,,F5V,0.6,,IR Excess,
HR 3549 b,45,,,80,,,2015,Imaging,HR 3549,,,,A0V,0.125,10207,IR Excess,
HR 7329,35,,,,,,2000,Imaging,HR 7329,,,,A0V,0.03,,,
HR 810 b,2.26,,320.1,0.925,0.161,,1999,Radial Velocity,HR 810,0.25,1.11,1.85,G0V pecul.,3.6,5997,,
HR 8799 b,7,1.2,164250,68,0,28,2008,Imaging,HR 8799,-0.47,1.56,1.5,A5V,0.06,,Imaging,
HR 8799 c,10,1.3,82145,42.9,0,28,2008,Imaging,HR 8799,-0.47,1.56,1.5,A5V,0.06,,Imaging,
HR 8799 d,10,1.2,41054,27,0.1,28,2008,Imaging,HR 8799,-0.47,1.56,1.5,A5V,0.06,,Imaging,
HR 8799 e,9,,18000,14.5,,,2010,Imaging,HR 8799,-0.47,1.56,1.5,A5V,0.06,,Imaging,
HU Aqr (AB) c,5.9,,5646,6.18,0.29,,2011,Pulsar,HU Aqr (AB),,1,,Catac. var.,,,,
HW Vir (AB) b,14.3,,4640,4.69,0.4,,2008,Pulsar,HW Vir (AB),,0.627,,sdB+M,,,,
J1433 b,57.1,,0.054,,,84.36,2016,Primary Transit,J1433,,0.8,,WD,,13200,,
K2-10 b,0.085,0.343,19.3044,,0.31,88.5,2016,Primary Transit,K2-10,-0.07,0.92,0.98,,,5620,,
K2-105 b,0.094,0.32,8.266902,,,88.95,2017,Primary Transit,K2-105,0.26,1.01,0.95,,0.6,5434,,
K2-108 b,0.187,0.471,4.73401,0.0573,0.18,,2016,Primary Transit,K2-108,0.33,1.121,1.75,,7.8,5474,,
K2-11 b,,0.674,39.93767,0.2257,,,2015,Primary Transit,K2-11,-0.12,1.35,5.15,,,5433,,
K2-12 b,,0.208,8.28212,0.0802,,,2015,Primary Transit,K2-12,0.03,1.01,1.01,,,5800,,
K2-13 b,,0.169,39.91488,0.2114,,,2015,Primary Transit,K2-13,-0.54,0.8,0.78,,0.78,5698,,
K2-14 b,,0.429,8.36802,0.0627,,,2015,Primary Transit,K2-14,-0.37,0.47,0.45,,,3789,,
K2-15 b,,0.221,11.8104,0.091,,,2015,Primary Transit,K2-15,-0.46,0.72,0.68,,,5131,,
K2-16 b,,0.18,7.6188,0.0662,,,2015,Primary Transit,K2-16,-0.33,0.68,0.66,K3V,,4761,,
K2-16 c,,0.227,19.07863,0.122,,,2015,Primary Transit,K2-16,-0.33,0.68,0.66,K3V,,4761,,
K2-17 b,,0.199,17.96753,0.119,,,2015,Primary Transit,K2-17,0.15,0.71,0.66,,,4320,,
K2-18 b,,0.2,32.94488,0.1491,,,2015,Primary Transit,K2-18,0.09,0.413,0.394,,,3503,,
K2-19 b,0.187,0.691,7.9194,0.077,0.119,88.83,2015,Primary Transit,K2-19,0.1,0.93,0.86,G9V,8,5430,,
K2-19 c,0.031,0.434,11.90715,0.1032,0.095,89.91,2015,Primary Transit,K2-19,0.1,0.93,0.86,G9V,8,5430,,
K2-19 d,,0.102,2.50856,,,,2015,Primary Transit,K2-19,0.1,0.93,0.86,G9V,8,5430,,
K2-24 b,0.0661,0.52,20.8851,0.154,,89.25,2015,Primary Transit,KE-24 ,0.42,1.12,1.21,G9V,5,5743,,
K2-24 c,0.085,0.723,42.36342,0.247,,89.76,2015,Primary Transit,KE-24 ,0.42,1.12,1.21,G9V,5,5743,,
K2-26 b,,0.238,14.5665,,,89.22,2015,Primary Transit,K2-26,,,,M1,,,,
K2-27 b,0.0972,0.397,6.77145,,0.25,88.4,2016,Primary Transit,K2-27,0.14,0.89,0.85,,,5320,,
K2-28 b,,0.207,2.260455,0.0214,,88.9,2015,Primary Transit,K2-28,0.26,0.257,0.288,M4,,3214,,
K2-29 b,0.73,1.19,3.2588321,0.04217,0.066,86.656,2016,Primary Transit,EPIC 211089792,,,,G7V,,,,
K2-3  b,0.026,0.194,10.05449,0.0775,0.06,89.59,2015,Primary Transit,K2-3,-0.3,0.612,0.553,M0.0V,1,3951,,
K2-3 c,0.0066,0.165,24.64354,0.1405,0.04,89.7,2015,Primary Transit,K2-3,-0.3,0.612,0.553,M0.0V,1,3951,,
K2-3 d,0.0349,0.135,44.5598,0.2086,0.045,89.79,2015,Primary Transit,K2-3,-0.3,0.612,0.553,M0.0V,1,3951,,
K2-30 b,0.624,1.196,4.098507,0.04986,0.027,86.32,2016,Primary Transit,K2-30,0.136,0.984,0.941,G8,,5581,,
K2-31 b,1.774,1.06,1.25785,0.022,,79.9,2016,Primary Transit,K2-31 ,0.08,0.91,0.78,G7V,,5280,,
K2-32 b,0.0519,0.48,8.99218,0.0808,0.21,89,2015,Primary Transit,EPIC 205071984,0,0.87,0.87,G9V,,5315,,
K2-32 c,0.04,0.31,20.65614,0.1407,,88.23,2015,Primary Transit,EPIC 205071984,0,0.87,0.87,G9V,,5315,,
K2-32 d,0.0343,0.335,31.71922,0.1873,,88.4,2015,Primary Transit,EPIC 205071984,0,0.87,0.87,G9V,,5315,,
K2-33 b,3.6,0.451,5.42513,0.0409,0,89.1,2016,Primary Transit,EPIC 205117205,,0.54,1.06,M3.3,0.0095,3540,,
K2-34 b,1.78,1.35,2.995607,0.04419,0,82.06,2016,Primary Transit,K2-34,0.24,1.281,1.526,F9,,6132,,
K2-35 b,,0.0964,2.39991,0.0306,,86.1,2015,Primary Transit,K2-35,0.04,0.663,0.601,,,4426,,
K2-35 c,,0.151,5.60906,0.0539,,87.85,2015,Primary Transit,K2-35,0.04,0.663,0.601,,,4426,,
K2-39 b,0.125,0.73,4.60543,0.062,0.152,80,2016,Primary Transit,K2-39,0.32,1.53,3.88,,3.09,4881,,
K2-4 b,,0.211,10.00329,0.0777,,,2015,Primary Transit,K2-4,-0.12,0.63,0.6,,,4197,,
K2-5 b,,0.171,5.73491,0.0509,,,2015,Primary Transit,K2-5,-0.51,0.53,0.52,,,4102,,
K2-5 c,,0.171,10.93406,0.0783,,,2015,Primary Transit,K2-5,-0.51,0.53,0.52,,,4102,,
K2-6 b,,0.223,30.94191,0.1898,,,2015,Primary Transit,K2-6,-0.14,0.97,0.96,,,5850,,
K2-60 b,0.426,0.683,3.00265,0.045,,88.49,2016,Primary Transit,K2-60,0.01,0.97,1.12,G4V,10,5500,,
K2-66 b,0.067,0.222,5.06963,0.05983,,86.6,2017,Primary Transit,K2-66,-0.047,1.11,1.67,,,5887,,
K2-7 b,,0.238,28.67992,0.1814,,,2015,Primary Transit,K2-7,-0.07,0.97,0.96,,,5772,,
K2-77 b,1.9,0.205,8.199796,,0.14,88.7,2016,Primary Transit,K2-77,0.29,0.8,0.76,K,0.7,4970,,
K2-8 b,,0.319,10.35239,0.0856,,,2015,Primary Transit,K2-8,-0.01,0.79,0.74,,,4890,,
K2-9 b,,0.143,18.44883,0.0848,,,2015,Primary Transit,K2-9,-0.46,0.24,0.25,,,3468,,
K2-95 b,1.67,0.33,10.134588,0.0653,0.16,89.25,2016,Primary Transit,EPIC 211916756,0.2,0.43,0.44,M3.5,0.8,3410,,
K2-97 b,1.1,1.31,8.4061,,,,2016,Primary Transit,K2-97,0.42,1.16,4.2,,7.8,,,
K2-99 b,0.97,1.29,18.249,0.159,0.19,87.7,2016,Primary Transit,EPIC 212803289,0.2,1.6,3.1,G0 IV,2.4,5990,,
KELT-1 b,27.38,1.116,1.217514,0.02472,0.01,87.6,2012,Primary Transit,KELT-1,0.052,1.335,1.471,F5,1.75,6516,,
KELT-10 b,0.679,1.399,4.166285,0.0525,,88.61,2015,Primary Transit,KELT-10,0.09,1.112,1.209,,4.5,5948,,
KELT-11 b,0.195,1.37,4.736529,0.06229,0,85.8,2016,Primary Transit,KELT-11,0.18,1.438,2.72,G8,,5370,,
KELT-15 b,0.92,1.443,3.329441,0.04613,,79.67,2015,Primary Transit,KELT-15,0.047,1.181,1.481,,,6003,,
KELT-16 b,2.75,1.415,0.9689951,0.02044,,,2016,Primary Transit,KELT-16,-0.002,1.211,1.36,F7V,2.9,6236,,
KELT-17 b,1.31,1.525,3.0801716,0.04881,,,2015,Primary Transit,KELT-17,-0.018,1.635,1.645,A,,7454,,
