,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
3127,KEPLER-871 B,Primary Transit,,22.0459018,,,,,,,0.334,,,2016,5993,1.11,1.14,,,0.09,,,
3128,KEPLER-872 B,Primary Transit,,2.57885507,,,,,,,0.178,,,2016,5902,1.05,1.08,,,0.04,,,
3129,KEPLER-873 B,Primary Transit,,20.5533844,,,,,,,0.335,,,2016,6163,1.18,1.27,,,0.07,,,
3130,KEPLER-874 B,Primary Transit,,40.0686727,,,,,,,0.352,,,2016,6020,1.09,1.13,,,0.03,,,
3131,KEPLER-875 B,Primary Transit,,27.5073799,,,,,,,0.259,,,2016,5958,1.06,1.11,,,0.03,,,
3132,KEPLER-876 B,Primary Transit,,5.14438011,,,,,,,0.128,,,2016,5060,0.81,0.77,,,-0.03,,,
3133,KEPLER-877 B,Primary Transit,,18.45847097,,,,,,,0.189,,,2016,5261,0.85,0.81,,,-0.06,,,
3134,KEPLER-878 B,Primary Transit,,25.9422033,,,,,,,0.172,,,2016,5044,0.81,0.77,,,-0.03,,,
3135,KEPLER-879 B,Primary Transit,,33.3855938,,,,,,,0.229,,,2016,5792,1.02,1.02,,,0.05,,,
3136,KEPLER-88 B,Primary Transit,,10.95416,,0.05593,89.055,0.027373124,,,0.337229614,,,2013,5513,1.022,0.961,B,,0.37,,2.45,
3137,KEPLER-88 C,Radial Velocity,,22.3395,0.1529,0.05628,86.2,0.626869808,,,,,,2013,5513,1.022,0.961,B,,0.37,,2.45,
3138,KEPLER-880 B,Primary Transit,,7.71468975,,,,,,,0.237,,,2016,6761,1.46,1.74,,,0.03,,,
3139,KEPLER-881 B,Primary Transit,,4.44448017,,,,,,,0.159,,,2016,5961,1.06,1.09,,,0,,,
3140,KEPLER-882 B,Primary Transit,,3.98953967,,,,,,,0.11,,,2016,5476,0.9,0.87,,,-0.03,,,
3141,KEPLER-883 B,Primary Transit,,12.98495573,,,,,,,0.159,,,2016,6116,1.06,1.09,,,-0.13,,,
3142,KEPLER-884 B,Primary Transit,,5.69919514,,,,,,,0.11,,,2016,5715,1,0.94,,,0.05,,,
3143,KEPLER-885 B,Primary Transit,,18.11472949,,,,,,,0.223,,,2016,6187,1.21,1.35,,,0.11,,,
3144,KEPLER-886 B,Primary Transit,,6.24146367,,,,,,,0.136,,,2016,6098,1.1,1.16,,,-0.01,,,
3145,KEPLER-887 B,Primary Transit,,20.42228798,,,,,,,0.164,,,2016,6194,1.19,1.29,,,0.08,,,
3146,KEPLER-887 C,Primary Transit,,7.63846023,,,,,,,0.101,,,2016,6194,1.19,1.29,,,0.08,,,
3147,KEPLER-888 B,Primary Transit,,70.6979061,,,,,,,0.157,,,2016,5875,0.97,0.9,,,-0.21,,,
