rowid,Star name,planet letter,Method,No de planetas,Periodo dias,Semi eje,excentricidad,Inlcinacion,Masa sin (Mjup),Masa (Mjup),Masa (Mtierra),Radio (Rjup),Radio tierra,Densidad pl gr/cm^3,Año,Teff (K),Masa (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Razón de metalicidad,Edad estr
174,HAT-P-25,b,Transit,1,3.652836,0.0466,0.032,87.6,0.567,0.567,180.202,1.19,13.339,0.42,2010,5500,1.01,0.96,G5,,0.31,[Fe/H],3.2
175,HAT-P-26,b,Transit,1,4.234516,0.0479,0.124,88.6,0.059,0.059,18.751,0.565,6.333,0.4,2010,5079,0.82,0.79,K1,,-0.04,[Fe/H],9
176,HAT-P-27,b,Transit,1,3.039577,0.04,0,85,0.62,0.62,197.05,1.02,11.43,,2011,5300,0.94,0.9,G8,,0.29,[Fe/H],4.4
177,HAT-P-28,b,Transit,1,3.257215,0.0434,0.051,88,0.626,0.626,198.953,1.212,13.585,0.44,2011,5680,1.02,1.1,G3,,0.12,[Fe/H],6.1
178,HAT-P-29,b,Transit,1,5.723186,0.0667,0.095,87.1,0.778,0.778,247.261,1.107,12.408,0.71,2011,6087,1.21,1.22,F8,,0.21,[Fe/H],2.2
179,HAT-P-3,b,Transit,1,2.899736,0.03866,0,87.07,0.591,0.591,187.83,0.827,9.27,1.29,2007,5185,0.92,0.8,K,2.53,0.27,[Fe/H],1.6
180,HAT-P-30,b,Transit,1,2.810595,0.0419,0.035,83.6,0.711,0.711,225.968,1.34,15.02,0.37,2011,6304,1.24,1.22,,,0.13,[Fe/H],1
181,HAT-P-31,b,Transit,1,5.005425,0.055,0.245,87.1,2.171,2.171,689.98,1.07,11.99,2.18,2011,6065,1.22,1.36,,,,,
182,HAT-P-32,b,Transit,1,2.15000805,0.0343,0.0072,88.9,,,,1.789,20.053,,2011,6269,,1.22,,,-0.04,[Fe/H],
183,HAT-P-33,b,Transit,1,3.474474,0.0499,0,87.2,0.762,0.762,242.176,1.686,18.898,0.2,2011,6446,1.38,1.64,,,,,
184,HAT-P-34,b,Transit,1,5.452654,0.0677,0.441,87.1,3.328,3.328,1057.694,1.197,13.417,2.4,2011,6442,1.39,1.53,,,,,
185,HAT-P-35,b,Transit,1,3.646706,0.0498,0.025,87.3,1.054,1.054,334.979,1.332,14.93,0.55,2011,6096,1.24,1.44,,,,,
186,HAT-P-36,b,Transit,1,1.327347,0.0238,0.063,86,1.832,1.832,582.24,1.264,14.168,1.12,2011,5560,1.02,1.1,,,,,
187,HAT-P-37,b,Transit,1,2.797436,0.0379,0.058,86.9,1.169,1.169,371.528,1.178,13.204,0.89,2011,5500,0.93,0.88,,,,,
188,HAT-P-38,b,Transit,1,4.640382,0.0523,0.067,88.3,0.267,0.267,84.857,0.825,9.247,0.59,2012,5330,0.89,0.92,,,,,
189,HAT-P-39,b,Transit,1,3.54387,0.0509,0,87,0.599,0.599,190.372,1.571,17.609,0.19,2012,6430,1.4,1.62,,,,,
190,HAT-P-4,b,Transit,1,3.056536,0.04438,0,89.91,0.671,0.671,213.255,1.274,14.28,0.403,2007,5860,1.26,1.6,G1 V,,,,
191,HAT-P-40,b,Transit,1,4.457243,0.0608,0,88.3,0.615,0.615,195.457,1.73,19.392,0.15,2012,6080,1.51,2.21,,,,,
192,HAT-P-41,b,Transit,1,2.694047,0.0426,0,87.7,0.8,0.8,254.253,1.685,18.887,0.2,2012,6390,1.42,1.68,,,,,
193,HAT-P-42,b,Transit,1,4.641878,0.0575,0,85.9,1.044,1.044,331.801,1.28,14.348,0.61,2012,5743,1.18,1.53,,,0.27,[Fe/H],5.2
194,HAT-P-43,b,Transit,1,3.332687,0.0443,0,88.7,0.662,0.662,210.395,1.281,14.359,0.39,2012,5645,1.05,1.1,,,0.23,[Fe/H],5.7
195,HAT-P-44,b,Transit,2,4.301219,0.0507,0.044,89.1,0.352,0.352,111.871,1.242,13.922,0.23,2014,5295,0.94,0.95,,,0.33,[Fe/H],7.5
196,HAT-P-44,c,Radial Velocity,2,872.2,1.752,0.494,,4,,,,,,2014,5295,0.94,0.95,,,0.33,[Fe/H],7.5
197,HAT-P-45,b,Transit,1,3.128992,0.0452,0.049,87.8,0.892,0.892,283.492,1.426,15.984,0.38,2014,6330,1.26,1.32,,,0.07,[Fe/H],2
198,HAT-P-46,b,Transit,1,4.463129,0.0577,0.123,85.5,0.493,0.493,156.684,1.284,14.392,0.28,2014,6120,1.28,1.4,,,0.3,[Fe/H],2.5
199,HAT-P-49,b,Transit,1,2.691548,0.0438,0,86.2,1.73,1.73,549.823,1.413,15.838,0.75,2014,6820,1.54,1.83,F,,0.074,[Fe/H],1.5
200,HAT-P-5,b,Transit,1,2.788491,0.04075,0,86.75,1.06,1.06,336.89,1.26,14.12,0.66,2007,5960,1.16,1.17,G,,0.24,[Fe/H],2.6
201,HAT-P-50,b,Transit,1,3.1220109,0.0453,0.115,83.65,1.35,1.35,429.0705,1.288,14.437,0.78,2015,6280,1.27,1.7,,0.357,-0.18,[Fe/H],3.37
202,HAT-P-51,b,Transit,1,4.2180278,0.05069,0.123,88.48,0.309,0.309,98.20947,1.293,14.493,0.178,2015,5449,0.98,1.04,,1.223,0.27,[Fe/H],8.2
203,HAT-P-52,b,Transit,1,2.7535953,0.03694,0.047,87.02,0.818,0.818,259.98494,1.009,11.31,0.98,2015,5131,0.89,0.89,,1.75,0.28,[Fe/H],9.4
204,HAT-P-53,b,Transit,1,1.9616241,0.03159,0.134,86.2,1.484,1.484,471.65972,1.318,14.773,0.8,2015,5956,1.09,1.21,,0.87,0,[Fe/H],4.67
205,HAT-P-54,b,Transit,1,3.799847,0.04117,0.074,87.04,0.76,0.76,241.5508,0.944,10.581,1.118,2015,4390,0.65,0.62,,,-0.127,[Fe/H],3.9
206,HAT-P-55,b,Transit,1,3.5852467,0.04604,0.139,87.7,0.582,0.582,184.97706,1.182,13.249,0.435,2015,5808,1.01,1.01,,,-0.03,[Fe/H],4.2
207,HAT-P-56,b,Transit,1,2.7908327,0.0423,0.246,82.13,2.18,2.18,692.8694,1.466,16.432,0.86,2015,6566,1.3,1.43,F8,0.627,-0.077,[m/H],2.01
208,HAT-P-57,b,Transit,1,2.465295,0.0406,0,88.26,1.85,1.85,587.9855,1.413,15.838,,2015,7500,1.47,1.5,A8 V,0.615,-0.25,[Fe/H],1
209,HAT-P-6,b,Transit,1,3.852985,0.05235,0,85.51,1.057,1.057,335.932,1.33,14.908,0.558,2007,6570,1.29,1.46,,,-0.13,[Fe/H],2.3
210,HAT-P-65,b,Transit,1,2.6054552,0.03951,0.304,84.2,0.527,0.527,167.49641,1.89,21.185,0.096,2016,5835,1.21,1.86,G2,0.266,0.1,[Fe/H],5.46
211,HAT-P-66,b,Transit,1,2.972086,0.04363,0.09,86.2,0.783,0.783,248.86089,1.59,17.822,0.242,2016,6002,1.25,1.88,G0,0.269,0.035,[Fe/H],4.66
212,HAT-P-67,b,Transit,1,4.8101025,0.06505,0,88.8,0.34,0.34,108.0622,2.085,23.371,0.052,2017,6406,1.64,2.55,,,-0.08,[Fe/H],1.24
213,HAT-P-7,b,Transit,1,2.2047372,0.03676,0.0016,82.2,1.682,1.682,534.59006,1.491,16.713,0.629,2008,6441,1.47,1.84,,,0.15,[Fe/H],
214,HAT-P-8,b,Transit,1,3.0763776,0.0487,0,87.5,1.52,1.52,483.08,1.5,16.81,0.568,2008,6200,1.28,1.58,,,,,
215,HAT-P-9,b,Transit,1,3.92289,0.053,0,86.5,0.78,0.78,247.9,1.4,15.69,0.35,2008,6350,1.28,1.32,,,,,
216,HATS-1,b,Transit,1,3.446459,0.0444,0.12,85.6,1.855,1.855,589.55,1.302,14.594,1.03,2012,5870,0.99,1.04,,,,,
217,HATS-10,b,Transit,1,3.312846,0.04491,0.501,87.79,0.526,0.526,167.17858,0.969,10.862,0.7,2015,5880,1.1,1.1,,1.15,0.15,[Fe/H],3.3
218,HATS-11,b,Transit,1,3.6191613,0.04614,0.34,88.31,0.85,0.85,270.1555,1.51,16.926,0.299,2016,6060,1,1.44,G0,0.471,-0.39,[Fe/H],7.7
219,HATS-12,b,Transit,1,3.142833,0.04795,0.085,82.7,2.38,2.38,756.4354,1.35,15.132,1.19,2016,6408,1.49,2.21,F,0.196,-0.1,[Fe/H],2.36
220,HATS-13,b,Transit,1,3.0440499,0.04057,0.181,88.55,0.543,0.543,172.58169,1.212,13.585,0.377,2015,5523,0.96,0.89,,1.93,0.05,[Fe/H],2.5
221,HATS-14,b,Transit,1,2.7667641,0.03815,0.142,88.83,1.071,1.071,340.39593,1.039,11.646,1.191,2015,5346,0.97,0.93,,1.682,0.33,[Fe/H],4.9
222,HATS-15,b,Transit,1,1.74748753,0.02712,0.126,87.13,2.17,2.17,689.6911,1.105,12.386,1.97,2016,5311,0.87,0.92,G9 V,1.57,0,[Fe/H],11
223,HATS-16,b,Transit,1,2.686502,0.03744,0,83.53,3.27,3.27,1039.3041,1.3,14.572,1.86,2016,5738,0.97,1.24,G3 V,0.72,-0.1,[Fe/H],9.5
224,HATS-17,b,Transit,1,16.254611,0.1308,0.029,89.08,1.338,1.338,425.25654,0.777,8.709,3.5,2016,5846,1.13,1.09,G V,1.22,0.3,[Fe/H],2.1
225,HATS-18,b,Transit,1,0.8378434,0.01761,0.166,85.5,1.98,1.98,629.3034,1.337,14.986,1.02,2016,5600,1.04,1.02,G V,1.37,0.28,[Fe/H],4.2
226,HATS-2,b,Transit,1,1.354133,0.023,0,87.2,1.345,1.345,427.463,1.168,13.092,1.05,2013,5227,0.88,0.9,K,,0.15,[Fe/H],9.7
227,HATS-22,b,Transit,1,4.7228124,0.05025,0.079,87.96,2.74,2.74,870.8542,0.953,10.682,3.89,2017,4803,0.76,0.69,K V,3.28,0,[Fe/H],
228,HATS-23,b,Transit,1,2.1605156,0.03397,0.114,81.02,1.47,1.47,467.2101,1.86,20.849,0.29,2017,5780,1.12,1.2,G V,0.91,0.28,[Fe/H],4.2
229,HATS-24,b,Transit,1,1.3484954,0.02547,0.242,86.6,2.44,2.44,775.5052,1.487,16.668,0.92,2017,6346,1.21,1.17,F V,1.059,0,[Fe/H],0.88
230,HATS-25,b,Transit,1,4.2986432,0.05163,0.176,86.93,0.613,0.613,194.82979,1.26,14.123,0.38,2016,5715,0.99,1.11,G,1.03,0.02,[Fe/H],7.5
231,HATS-26,b,Transit,1,3.3023881,0.04735,0.245,86.2,0.65,0.65,206.5895,1.75,19.616,0.153,2016,6071,1.3,2.04,F,0.218,-0.02,[Fe/H],4.04
232,HATS-27,b,Transit,1,4.637038,0.0611,0.581,87.3,0.53,0.53,168.4499,1.5,16.814,0.18,2016,6438,1.42,1.74,F,0.379,0.09,[Fe/H],2.3
233,HATS-28,b,Transit,1,3.1810781,0.04131,0.202,86.17,0.672,0.672,213.58176,1.194,13.384,0.48,2016,5498,0.93,0.92,G,1.67,0.01,[Fe/H],6.2
234,HATS-29,b,Transit,1,4.6058749,0.05475,0.158,87.37,0.653,0.653,207.54299,1.251,14.022,0.411,2016,5670,1.03,1.07,G,1.17,0.16,[Fe/H],5.5
235,HATS-3,b,Transit,1,3.547851,0.0485,0,86.2,1.071,1.071,340.382,1.381,15.48,0.51,2013,6351,1.21,1.4,F,,-0.157,[Fe/H],3.2
236,HATS-30,b,Transit,1,3.1743516,0.04354,0.096,86.84,0.706,0.706,224.38798,1.175,13.171,0.543,2016,5943,1.09,1.06,G,1.29,0.06,[Fe/H],2.3
237,HATS-31,b,Transit,1,3.37796,0.0478,0.233,85,0.88,0.88,279.6904,1.64,18.383,0.243,2016,6050,1.27,1.87,,0.275,0,[Fe/H],4.3
238,HATS-32,b,Transit,1,2.8126548,0.04024,0.471,87.1,0.92,0.92,292.4036,1.249,14,0.58,2016,5700,1.1,1.1,,1.17,0.39,[Fe/H],3.5
239,HATS-33,b,Transit,1,2.5495551,0.03727,0.08,87.62,1.192,1.192,378.85336,1.23,13.787,0.79,2016,5659,1.06,1.02,,1.4,0.29,[Fe/H],3
240,HATS-34,b,Transit,1,2.1061607,0.03166,0.108,82.28,0.941,0.941,299.07803,1.43,16.029,0.4,2016,5380,0.95,0.98,,1.44,0.25,[Fe/H],7.7
241,HATS-35,b,Transit,1,1.8209993,0.03199,0.306,86.9,1.222,1.222,388.38826,1.464,16.41,0.484,2016,6300,1.32,1.43,,0.628,0.21,[Fe/H],2.13
242,HATS-4,b,Transit,1,2.516729,0.0362,0.013,88.5,1.323,1.323,420.471,1.02,11.433,1.55,2014,5403,1,0.93,G,,0.43,[Fe/H],2.1
243,HATS-5,b,Transit,1,4.763387,0.0542,0.019,89.3,0.237,0.237,75.323,0.912,10.223,0.39,2014,5304,0.94,0.87,G,,0.19,[Fe/H],3.6
244,HATS-6,b,Transit,1,3.3252725,0.03623,0,88.21,0.319,0.319,101.38777,0.998,11.187,0.399,2015,3724,0.57,0.57,M1 V,4.36,0.2,[Fe/H],8.1
245,HATS-8,b,Transit,1,3.583893,0.04667,0.376,87.8,0.138,0.138,43.86054,0.873,9.785,0.259,2015,5679,1.06,1.09,,1.15,0.21,[Fe/H],5.1
246,HATS-9,b,Transit,1,1.9153073,0.03048,0.129,86.5,0.837,0.837,266.02371,1.065,11.938,0.85,2015,5366,1.03,1.5,,0.427,0.34,[Fe/H],10.8
247,HD 100546,b,Imaging,1,,53,,,,,,6.9,77.342,,2014,10500,2.4,,B9 Vne,,,,0.005
248,HD 100655,b,Radial Velocity,1,157.57,0.76,0.085,,1.7,,,,,,2011,4861,2.4,9.3,G9 III,,0.15,[Fe/H],
249,HD 100777,b,Radial Velocity,1,383.7,1.03,0.36,,1.16,,,,,,2007,5582,1.01,,G8 V,,-0.27,[Fe/H],2
250,HD 10180,c,Radial Velocity,6,5.75969,0.06412,0.073,,0.0416,,,,,,2010,5911,1.06,1.11,G1 V,,0.08,[Fe/H],
251,HD 10180,d,Radial Velocity,6,16.357,0.12859,0.131,,0.0378,,,,,,2010,5911,1.06,1.11,G1 V,,0.08,[Fe/H],
252,HD 10180,e,Radial Velocity,6,49.748,0.2699,0.051,,0.0805,,,,,,2010,5911,1.06,1.11,G1 V,,0.08,[Fe/H],
253,HD 10180,f,Radial Velocity,6,122.744,0.4929,0.119,,0.0722,,,,,,2010,5911,1.06,1.11,G1 V,,0.08,[Fe/H],
254,HD 10180,g,Radial Velocity,6,604.67,1.427,0.263,,0.0732,,,,,,2010,5911,1.06,1.11,G1 V,,0.08,[Fe/H],
255,HD 10180,h,Radial Velocity,6,2205,3.381,0.095,,0.2066,,,,,,2010,5911,1.06,1.11,G1 V,,0.08,[Fe/H],
256,HD 101930,b,Radial Velocity,1,70.46,0.302,0.11,,0.3,,,,,,2005,5079,0.74,,K1 V,,0.17,[Fe/H],
257,HD 102117,b,Radial Velocity,1,20.8133,0.1532,0.121,,0.172,,,,,,2005,5695,1.11,,G6 V,,0.295,[Fe/H],
258,HD 102195,b,Radial Velocity,1,4.113775,,0,,0.45,,,,,,2006,5291,0.87,,K0 V,,0.05,[Fe/H],
259,HD 102272,b,Radial Velocity,1,127.58,0.614,0.05,,5.9,,,,,,2008,4908,1.9,10.1,K0,,-0.26,[Fe/H],
260,HD 102329,b,Radial Velocity,1,778.1,2.03,0.211,,5.9,,,,,,2011,4830,1.95,6.3,K0 III,,0.3,[Fe/H],1.6
261,HD 102365,b,Radial Velocity,1,122.1,0.46,0.34,,0.05,,,,,,2010,5630,0.85,,G3/5 V,,-0.26,[Fe/H],9
262,HD 102956,b,Radial Velocity,1,6.495,0.081,0.048,,0.96,,,,,,2010,5054,1.68,4.4,G5,,0.19,[Fe/H],2.3
263,HD 103197,b,Radial Velocity,1,47.84,0.249,0,,0.098,,,,,,2009,5303,0.9,,K1 V(P),,0.21,[Fe/H],9.1
264,HD 103720,b,Radial Velocity,1,4.5557,0.0498,0.086,,0.62,,,,,,2014,5017,0.79,0.73,K3 V,,-0.02,[Fe/H],3.8
265,HD 103774,b,Radial Velocity,1,5.8881,0.07,0.09,,0.367,,,,,,2013,6489,1.33,,F5 V,,0.28,[Fe/H],1.05
266,HD 104067,b,Radial Velocity,1,55.806,0.2643,0,,0.186,,,,,,2009,4969,0.79,,K2 V,,-0.06,[Fe/H],4.33
267,HD 10442,b,Radial Velocity,1,1043,2.335,0.11,,2.1,,,,,,2014,5034,1.56,,K2 IV,,0.11,[Fe/H],
268,HD 104985,b,Radial Velocity,1,199.505,0.95,0.09,,8.3,,,,,,2003,,,,K0,,,,
269,HD 106252,b,Radial Velocity,1,1531,2.611,0.482,,6.92,,,,,,2002,5870,1.01,,G0,,-0.07,[Fe/H],
270,HD 106270,b,Radial Velocity,1,2890,4.3,0.402,,11,,,,,,2011,5638,1.32,2.5,G5 IV,,0.08,[Fe/H],4.3
271,HD 106315,b,Transit,2,9.5521,0.09012,,88.4,,,,0.199,2.23,,2017,6290,1.07,1.18,F5 V,,-0.24,[Fe/H],4
272,HD 106315,c,Transit,2,21.0576,0.1526,,89.42,,,,0.352,3.95,,2017,6290,1.07,1.18,F5 V,,-0.24,[Fe/H],4
273,HD 10647,b,Radial Velocity,1,989.2,2.015,0.15,,0.94,,,,,,2006,6218,1.11,1.1,F9 V,,0,[Fe/H],1.4
274,HD 106515 A,b,Radial Velocity,1,3630,4.59,0.572,,9.61,,,,,,2012,5362,0.97,1.62,G5,,0.03,[Fe/H],11.7
275,HD 106906,b,Imaging,1,,650,,,11,11,3496,,,,2013,6516,1.5,,F5 V,,,,0.013
276,HD 10697,b,Radial Velocity,1,1075.2,2.131,0.099,,6.21,,,,,,1999,5680,1.11,,G5 IV,,0.17,[Fe/H],
277,HD 107148,b,Radial Velocity,1,48.056,0.269,0.05,,0.21,,,,,,2005,5797,1.12,,G5 V,,0.314,[Fe/H],
278,HD 108147,b,Radial Velocity,1,10.8985,0.102,0.53,,0.261,,,,,,2002,6265,1.27,,F8/G0 V,,0.2,[Fe/H],
279,HD 108341,b,Radial Velocity,1,1129,2,0.85,,3.5,,,,,,2014,5122,0.84,0.79,K2 V,,0.04,[Fe/H],4.9
280,HD 108863,b,Radial Velocity,1,443.4,1.4,0.06,,2.6,,,,,,2011,4956,1.85,5.6,K0,,0.2,[Fe/H],1.8
281,HD 108874,b,Radial Velocity,2,395.8,1.038,0.082,,1.29,,,,,,2002,5551,0.95,,G5,,0.19,[Fe/H],
282,HD 108874,c,Radial Velocity,2,1624,2.659,0.239,,0.99,,,,,,2005,5551,0.95,,G5,,0.19,[Fe/H],
283,HD 109246,b,Radial Velocity,1,68.27,0.33,0.12,,0.77,,,,,,2010,5844,1.01,1.02,G0 V,,0.1,[Fe/H],
284,HD 109271,b,Radial Velocity,2,7.8543,0.079,0.25,,0.054,,,,,,2013,5783,1.05,,G5 V,,0.1,[Fe/H],7.3
285,HD 109271,c,Radial Velocity,2,30.93,0.196,0.15,,0.076,,,,,,2013,5783,1.05,,G5 V,,0.1,[Fe/H],7.3
286,HD 109749,b,Radial Velocity,1,5.24,0.0635,0.01,,0.28,,,,,,2005,5903,1.2,1.24,G3 V,,0.25,[Fe/H],3.7
287,HD 110014,b,Radial Velocity,1,835.477,2.14,0.462,,11.09,,,,,,2009,4445,2.17,20.9,K2 III,,0.19,[Fe/H],0.95
288,HD 111232,b,Radial Velocity,1,1143,1.97,0.2,,6.8,,,,,,2003,5494,0.78,,G5 V,,-0.36,[Fe/H],5.2
289,HD 111998,b,Radial Velocity,1,825.9,1.82,0.03,,4.51,,,,,,2016,6557,1.18,1.45,F5 V,,0.07,[Fe/H],1.9
290,HD 113337,b,Radial Velocity,1,324,0.92,0.46,,2.83,,,,,,2013,6576.6,1.4,1.5,F6 V,,0.07,[Fe/H],0.15
291,HD 113538,b,Radial Velocity,2,663.2,1.24,0.14,,0.36,,,,,,2010,4462,0.58,0.53,K9 V,,-0.24,[Fe/H],4.3
292,HD 113538,c,Radial Velocity,2,1818,2.44,0.2,,0.93,,,,,,2010,4462,0.58,0.53,K9 V,,-0.24,[Fe/H],4.3
293,HD 114386,b,Radial Velocity,1,937.7,1.65,0.23,,1.24,,,,,,2003,4804,0.68,,K3 V,,-0.08,[Fe/H],
294,HD 114613,b,Radial Velocity,1,3827,5.16,0.25,,0.48,,,,,,2014,5729,1.36,,G4 IV,,0.18,[Fe/H],
295,HD 114729,b,Radial Velocity,1,1114,2.11,0.167,,0.95,,,,,,2002,5821,1,,G0 V,,-0.262,[Fe/H],
296,HD 114762,b,Radial Velocity,1,83.9151,0.353,0.3354,,10.98,,,1.11,12.44,,1989,5673,0.83,1.24,F8,,-0.774,[Fe/H],
297,HD 114783,b,Radial Velocity,1,493.7,1.16,0.144,,1.1,,,,,,2001,5135,0.85,,K0,,0.21,[Fe/H],
298,HD 11506,b,Radial Velocity,2,1627.5,2.708,0.37,,4.21,,,,,,2007,6055,1.24,1.33,G0 V,,0.29,[Fe/H],2.4
299,HD 11506,c,Radial Velocity,2,223.6,0.721,0.24,,0.36,,,,,,2008,6055,1.24,1.33,G0 V,,0.29,[Fe/H],2.4
300,HD 116029,b,Radial Velocity,1,670,1.78,0.054,,2.1,,,,,,2011,4951,1.58,4.6,K0,,0.18,[Fe/H],2.7
301,HD 117207,b,Radial Velocity,1,2597,3.79,0.144,,1.88,,,,,,2004,5724,1.08,,G8 IV/V,,0.266,[Fe/H],
302,HD 11755,b,Radial Velocity,1,433.7,1.08,0.19,,6.5,,,,,,2015,4312.5,0.9,27.3,G5,,-0.74,[Fe/H],10.2
303,HD 117618,b,Radial Velocity,1,25.827,0.176,0.42,,0.178,,,,,,2004,5990,1.08,,G2 V,,0.03,[Fe/H],
304,HD 118203,b,Radial Velocity,1,6.1335,0.07,0.309,,2.13,,,,,,2005,5600,1.23,,K0,,0.1,[Fe/H],4.6
305,HD 11964,b,Radial Velocity,2,1945,3.16,0.041,,0.622,,,,,,2005,5349,1.12,,G8 IV,,0.122,[Fe/H],
306,HD 11964,c,Radial Velocity,2,37.91,0.229,0.3,,0.0788,,,,,,2008,5349,1.12,,G8 IV,,0.122,[Fe/H],
307,HD 11977,b,Radial Velocity,1,711,1.93,0.4,,6.54,,,,,,2005,4970,1.91,10.09,G8 III/IV,,-0.21,[Fe/H],1.2
308,HD 120084,b,Radial Velocity,1,2082,4.3,0.66,,4.5,,,,,,2013,4892,2.39,9.12,G7 III,,0.09,[Fe/H],
309,HD 121504,b,Radial Velocity,1,63.33,0.33,0.03,,1.22,,,,,,2003,6075,1.18,,G2 V,,0.16,[Fe/H],1.2
310,HD 12484,b,Radial Velocity,1,58.83,0.297,0.07,,2.98,,,,,,2016,5920,1.01,,F8,,0.05,[Fe/H],
311,HD 125595,b,Radial Velocity,1,9.6737,0.0809,0,,0.041,,,,,,2009,,,,K3/4 V,,,,
312,HD 125612,b,Radial Velocity,3,559.4,1.37,0.46,,3,,,,,,2007,5900,1.09,,G3 V,,0.23,[Fe/H],3
313,HD 125612,c,Radial Velocity,3,4.1547,0.05,0.27,,0.058,,,,,,2009,5900,1.09,,G3 V,,0.23,[Fe/H],3
314,HD 125612,d,Radial Velocity,3,3008,4.2,0.28,,7.2,,,,,,2009,5900,1.09,,G3 V,,0.23,[Fe/H],3
315,HD 12648,b,Radial Velocity,1,133.6,0.54,0.04,,2.9,,,,,,2015,4835.8,1.2,9.2,G5,,-0.57,[Fe/H],4.5
316,HD 12661,b,Radial Velocity,2,262.709,0.8079,0.3768,,2.176,,,,,,2000,5748,1.02,1.11,K0,,0.36,[Fe/H],6.39
317,HD 12661,c,Radial Velocity,2,1708,2.8145,0.031,,1.812,,,,,,2002,5748,1.02,1.11,K0,,0.36,[Fe/H],6.39
318,HD 126614,b,Radial Velocity,1,1244,2.35,0.41,,0.38,,,,,,2009,5585,1.15,1.09,G8 IV,,0.56,[Fe/H],7.2
319,HD 128311,b,Radial Velocity,2,453.019,1.084,0.303,30,1.769,,,,,,2002,,0.83,0.76,K0 V,,,,0.96
320,HD 128311,c,Radial Velocity,2,921.538,1.74,0.159,55.95,3.789,3.789,1204.25787,,,,2005,,0.83,0.76,K0 V,,,,0.96
321,HD 128356,b,Radial Velocity,1,298.2,0.87,0.57,,0.89,,,,,,2016,4875,0.65,0.85,K3 V,,0.17,[Fe/H],10
322,HD 129445,b,Radial Velocity,1,1840,2.9,0.7,,1.6,,,,,,2009,,0.99,,G6 V,,0.25,[Fe/H],
323,HD 130322,b,Radial Velocity,1,10.70871,0.0925,0.029,,1.15,,,,,,1999,5387,0.92,0.85,K0 V,,,,
324,HD 131496,b,Radial Velocity,1,883,2.09,0.163,,2.2,,,,,,2011,4927,1.61,4.3,K0,,0.25,[Fe/H],2.7
325,HD 131664,b,Radial Velocity,1,1951,3.17,0.638,,18.15,,,,,,2008,5886,1.1,1.16,G3 V,,0.32,[Fe/H],2.4
326,HD 13189,b,Radial Velocity,1,471.6,1.85,0.27,,14,,,,,,2005,,,,K2,,,,
327,HD 132406,b,Radial Velocity,1,974,1.98,0.34,,5.61,,,,,,2007,,,,G0,,,,
328,HD 132563,b,Radial Velocity,1,1544,2.62,0.22,,1.49,,,,,,2011,,,,F8,,,,
329,HD 133131 A,b,Radial Velocity,2,649,1.44,0.33,,1.42,,,,,,2016,5799,0.95,,G2 V,,-0.306,[Fe/H],9.7
330,HD 133131 A,c,Radial Velocity,2,3568,4.49,0.49,,0.42,,,,,,2016,5799,0.95,,G2 V,,-0.306,[Fe/H],9.7
331,HD 133131 B,b,Radial Velocity,2,5769,6.15,0.61,,2.5,,,,,,2016,5805,0.93,,G2 V,,-0.281,[Fe/H],9.7
332,HD 134987,b,Radial Velocity,2,258.19,0.81,0.233,,1.59,,,,,,1999,5585,1.1,1.25,G5 V,,0.28,[Fe/H],8.4
333,HD 134987,c,Radial Velocity,2,5000,5.8,0.12,,0.82,,,,,,2009,5585,1.1,1.25,G5 V,,0.28,[Fe/H],8.4
334,HD 136418,b,Radial Velocity,1,464.3,1.32,0.255,,2,,,,,,2009,5071,1.33,3.4,G5,,-0.07,[Fe/H],4
335,HD 137388 A,b,Radial Velocity,1,330,0.89,0.36,,0.223,,,,,,2011,5240,0.86,0.82,K2 IV,,0.18,[Fe/H],6.45
336,HD 13908,b,Radial Velocity,2,19.382,0.154,0.02,,0.865,,,,,,2013,6255,1.29,1.67,F8 V,,0.01,[Fe/H],2.9
337,HD 13908,c,Radial Velocity,2,931,2.03,0.12,,5.13,,,,,,2013,6255,1.29,1.67,F8 V,,0.01,[Fe/H],2.9
338,HD 13931,b,Radial Velocity,1,4218,5.15,0.02,,1.88,,,,,,2009,5829,1.02,1.23,G0,,0.03,[Fe/H],8.4
339,HD 139357,b,Radial Velocity,1,1125.7,2.36,0.1,,9.76,,,,,,2008,4700,1.35,11.47,K0,,-0.13,[Fe/H],3.07
340,HD 14067,b,Radial Velocity,1,1455,3.4,0.533,,7.8,,,,,,2014,4815,2.4,12.4,G9 III,,-0.1,[Fe/H],0.69
341,HD 141399,b,Radial Velocity,4,94.44,0.415,0.04,,0.451,,,,,,2014,5600,1.07,,K0,,0.35,[Fe/H],
342,HD 141399,c,Radial Velocity,4,201.99,0.689,0.048,,1.33,,,,,,2014,5600,1.07,,K0,,0.35,[Fe/H],
343,HD 141399,d,Radial Velocity,4,1069.8,2.09,0.074,,1.18,,,,,,2014,5600,1.07,,K0,,0.35,[Fe/H],
344,HD 141399,e,Radial Velocity,4,5000,5,0.26,,0.66,,,,,,2014,5600,1.07,,K0,,0.35,[Fe/H],
345,HD 141937,b,Radial Velocity,1,653.22,1.4877,0.41,,9.316,,,,,,2002,5879,1.03,0.99,G2/3 V,,0.12,[Fe/H],2.32
346,HD 142,b,Radial Velocity,2,349.7,1.02,0.17,,1.25,,,,,,2001,6245,1.23,1.47,G1 IV,,0.09,[Fe/H],
